Região,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Título
Norte,27,27,27,28,32,36,47,56,68,73,91,102,108,119,130,148,168,173,193,203,225,239,Mestrado
Nordeste,172,179,186,202,211,221,245,269,301,336,376,400,446,479,518,590,640,683,731,770,832,865,Mestrado
Sudeste,739,772,791,850,883,899,942,1003,1043,1090,1163,1219,1282,1346,1360,1466,1541,1609,1701,1766,1840,1894,Mestrado
Sul,191,207,219,243,260,279,318,347,377,404,444,484,516,542,580,637,677,726,781,828,880,920,Mestrado
Centro-Oeste,58,64,68,74,82,85,96,110,123,128,154,168,181,193,203,235,263,281,301,315,333,345,Mestrado
Norte,8,8,8,8,11,13,14,17,21,22,25,32,35,38,44,51,54,68,79,82,83,81,Doutorado
Nordeste,37,42,49,60,76,85,93,103,113,121,140,156,172,193,210,239,256,300,327,330,335,343,Doutorado
Sudeste,499,514,531,555,582,600,633,667,692,716,753,769,797,845,866,912,953,1.047,1.111,1.129,1.143,1.162,Doutorado
Sul,70,76,87,108,128,134,149,162,186,190,209,222,242,269,290,312,343,400,450,454,463,473,Doutorado
Centro-Oeste,16,18,20,21,24,25,32,37,47,48,58,66,74,77,92,101,111,138,153,157,159,164,Doutorado
